electricity_kwh,renewable_pct,gas_m3,car_km,public_transport_km,short_haul_flights,long_haul_flights,vehicle_factor,diet_value,food_waste_mult,shopping_value,clothing_items,streaming_hours,carbon_footprint
89.0,78.0,131.0,1299.0,859.0,0.0,3.0,0.1,1.7,0.9,1.1,59.0,9.0,10.67
761.0,72.0,157.0,384.0,840.0,3.0,2.0,0.1,1.7,0.9,1.5,47.0,8.0,10.86
402.0,83.0,109.0,1351.0,227.0,0.0,2.0,0.1,3.3,0.9,1.5,50.0,3.0,10.92
632.0,16.0,152.0,1063.0,67.0,6.0,2.0,0.192,3.3,1.15,1.5,46.0,2.0,16.01
364.0,47.0,100.0,1640.0,154.0,5.0,3.0,0.0,3.3,1.15,0.72,59.0,5.0,11.2
326.0,91.0,74.0,1409.0,796.0,1.0,2.0,0.0,1.5,1.15,0.72,20.0,2.0,6.44
565.0,67.0,189.0,482.0,833.0,4.0,3.0,0.1,1.5,0.9,1.5,50.0,5.0,12.04
805.0,85.0,77.0,865.0,239.0,4.0,3.0,0.171,1.5,1.15,0.3,49.0,0.0,9.37
797.0,79.0,156.0,1415.0,705.0,1.0,3.0,0.192,1.9,1.0,1.1,34.0,0.0,13.18
139.0,24.0,23.0,2005.0,655.0,3.0,4.0,0.1,1.9,0.9,1.5,35.0,8.0,10.77
565.0,55.0,18.0,2385.0,304.0,4.0,0.0,0.1,1.7,1.0,1.5,13.0,3.0,8.65
408.0,100.0,171.0,702.0,822.0,0.0,4.0,0.0,1.7,1.15,0.72,26.0,8.0,9.72
126.0,56.0,101.0,2989.0,664.0,2.0,2.0,0.192,1.9,1.15,0.72,10.0,4.0,14.29
22.0,10.0,18.0,2167.0,697.0,3.0,3.0,0.192,1.5,1.15,1.1,57.0,1.0,12.24
497.0,70.0,99.0,498.0,381.0,1.0,1.0,0.1,2.5,1.0,1.1,22.0,12.0,8.48
87.0,34.0,23.0,2886.0,366.0,6.0,2.0,0.05,2.5,1.0,0.72,46.0,12.0,9.2
263.0,78.0,52.0,2367.0,449.0,5.0,1.0,0.192,1.5,0.9,0.72,55.0,1.0,11.61
456.0,71.0,40.0,918.0,809.0,4.0,2.0,0.192,1.5,1.0,1.5,1.0,9.0,9.11
493.0,72.0,133.0,926.0,627.0,0.0,2.0,0.1,1.5,1.0,1.1,5.0,9.0,8.85
416.0,79.0,8.0,1482.0,188.0,2.0,3.0,0.0,1.5,1.15,0.3,10.0,7.0,5.14
794.0,17.0,60.0,2970.0,581.0,3.0,1.0,0.171,2.5,1.0,0.72,1.0,1.0,14.81
959.0,42.0,96.0,2348.0,65.0,0.0,1.0,0.1,1.9,1.15,0.72,26.0,12.0,11.31
161.0,57.0,108.0,2423.0,267.0,6.0,1.0,0.1,1.9,1.0,1.5,26.0,3.0,10.97
21.0,36.0,166.0,2689.0,543.0,0.0,1.0,0.0,1.9,0.9,0.3,40.0,8.0,7.27
118.0,28.0,49.0,2191.0,727.0,6.0,3.0,0.192,1.7,0.9,1.1,55.0,12.0,13.63
230.0,23.0,7.0,1665.0,547.0,2.0,1.0,0.0,3.3,1.0,1.5,58.0,4.0,8.28
202.0,96.0,127.0,1866.0,515.0,6.0,1.0,0.05,3.3,1.15,0.3,10.0,6.0,9.93
44.0,30.0,87.0,2978.0,151.0,6.0,0.0,0.171,2.5,1.15,1.5,13.0,11.0,13.8
116.0,52.0,94.0,66.0,772.0,2.0,3.0,0.05,1.9,1.0,1.5,5.0,9.0,8.51
747.0,38.0,52.0,2811.0,948.0,1.0,0.0,0.0,1.5,0.9,1.5,54.0,1.0,7.84
747.0,18.0,73.0,2160.0,875.0,0.0,0.0,0.1,1.7,0.9,1.5,47.0,4.0,11.35
972.0,50.0,100.0,431.0,935.0,0.0,0.0,0.1,1.7,0.9,0.3,1.0,8.0,7.27
970.0,12.0,59.0,2783.0,694.0,5.0,2.0,0.1,1.9,0.9,1.5,49.0,0.0,14.78
716.0,8.0,148.0,393.0,434.0,0.0,2.0,0.171,3.3,0.9,0.72,59.0,3.0,12.91
132.0,49.0,102.0,941.0,956.0,3.0,1.0,0.192,3.3,1.15,0.72,1.0,7.0,10.93
555.0,14.0,127.0,317.0,724.0,0.0,3.0,0.171,1.9,0.9,1.5,10.0,7.0,11.05
181.0,94.0,148.0,1296.0,467.0,4.0,3.0,0.171,3.3,0.9,1.1,6.0,3.0,12.59
830.0,25.0,160.0,698.0,334.0,3.0,3.0,0.1,2.5,1.15,1.5,45.0,7.0,14.48
290.0,41.0,23.0,2780.0,426.0,0.0,3.0,0.05,3.3,1.15,0.72,27.0,6.0,10.16
248.0,27.0,47.0,2238.0,841.0,5.0,4.0,0.171,1.5,1.15,0.3,29.0,7.0,12.85
358.0,14.0,38.0,956.0,310.0,6.0,0.0,0.171,3.3,1.15,1.1,10.0,2.0,10.27
